Gender,Education,Heights,Spiders,Snakes,Fear of public speaking,Ageing,Smoking,Alcohol,Healthy eating,Daily events,Prioritising workload,Writing notes,Workaholism,Thinking ahead,Final judgement,Reliability,Keeping promises,Loss of interest,Friends versus money,Funniness,Fake,Criminal damage,Decision making,Elections,Self-criticism,Judgment calls,Hypochondria,Empathy,Eating to survive,Giving,Compassion to animals,Borrowed stuff,Loneliness,Cheating in school,Health,Changing the past,God,Dreams,Charity,Number of friends,Waiting,New environment,Mood swings,Appearence and gestures,Socializing,Achievements,Responding to a serious letter,Children,Assertiveness,Getting angry,Knowing the right people,Public speaking,Unpopularity,Life struggles,Happiness in life,Energy levels,Small - big dogs,Personality,Finding lost valuables,Getting up,Interests or hobbies,Parents' advice,Questionnaires or polls
female,college/bachelor degree,Not afraid,Not afraid,Afraid,Not afraid,Not afraid,never smoked,drink a lot,3.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3,1.0,2,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0
female,college/bachelor degree,Not afraid,Not afraid,Not afraid,Afraid,Neutral,never smoked,drink a lot,2.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1,1.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,2,1.0,2,2.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0
female,secondary school,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,tried smoking,drink a lot,2.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,3,3.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,1,2.0,2,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0
female,secondary school,Not afraid,Not afraid,Not afraid,Neutral,Not afraid,tried smoking,social drinker,3.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,1,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2,2.0,2,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0
male,secondary school,Not afraid,Not afraid,Not afraid,Neutral,Not afraid,never smoked,never,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,1,2.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,2,1.0,2,2.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0
female,secondary school,Not afraid,Not afraid,Afraid,Not afraid,Afraid,tried smoking,social drinker,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,1,3.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,2,2.0,2,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0
male,college/bachelor degree,Neutral,Not afraid,Afraid,Afraid,Not afraid,current smoker,drink a lot,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,1,2.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,3,1.0,3,1.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0
female,secondary school,Afraid,Neutral,Afraid,Neutral,Neutral,never smoked,drink a lot,2.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1,3.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,2,1.0,2,1.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0
female,secondary school,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,current smoker,social drinker,2.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1,2.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2,1.0,2,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0
female,primary school,Neutral,Afraid,Afraid,Afraid,Afraid,tried smoking,never,2.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,1,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,2,2.0,3,2.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
female,college/bachelor degree,Not afraid,Not afraid,Neutral,Not afraid,Afraid,tried smoking,social drinker,2.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,2,1.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,2,1.0,2,1.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0
female,secondary school,Afraid,Neutral,Afraid,Neutral,Not afraid,never smoked,social drinker,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,3.0,1,2.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,3,1.0,2,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0
female,college/bachelor degree,Neutral,Not afraid,Afraid,Neutral,Afraid,current smoker,social drinker,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,3,2.0,3,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0
female,college/bachelor degree,Afraid,Afraid,Neutral,Afraid,Not afraid,current smoker,drink a lot,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,2,2.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,2,1.0,3,2.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0
male,secondary school,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,tried smoking,social drinker,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2,1.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,2,1.0,1,2.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0
male,secondary school,Afraid,Afraid,Not afraid,Neutral,Not afraid,former smoker,drink a lot,2.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,1,1.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,3,1.0,3,1.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0
male,secondary school,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,never smoked,never,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,1,3.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,3,1.0,2,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0
male,secondary school,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,tried smoking,social drinker,2.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1,1.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,3,1.0,2,2.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0
female,secondary school,Neutral,Neutral,Neutral,Neutral,Neutral,tried smoking,social drinker,2.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,1,1.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,3,1.0,2,2.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0
female,secondary school,Not afraid,Afraid,Afraid,Afraid,Afraid,tried smoking,never,3.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,1,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1,2.0,1,1.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0
female,secondary school,Neutral,Afraid,Not afraid,Not afraid,Afraid,tried smoking,social drinker,2.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1,2.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,3,1.0,3,1.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0
female,college/bachelor degree,Not afraid,Not afraid,Not afraid,Neutral,Not afraid,tried smoking,social drinker,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,2,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3,2.0,3,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
male,secondary school,Afraid,Afraid,Afraid,Not afraid,Afraid,former smoker,social drinker,3.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,1,3.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3,1.0,3,2.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0
female,secondary school,Afraid,Afraid,Afraid,Neutral,Afraid,tried smoking,social drinker,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,3.0,1,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2,1.0,3,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0
male,secondary school,Neutral,Afraid,Neutral,Afraid,Afraid,former smoker,drink a lot,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1,3.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,2,1.0,3,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0
female,secondary school,Not afraid,Not afraid,Afraid,Not afraid,Not afraid,tried smoking,social drinker,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,1,2.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,2,1.0,2,2.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
female,secondary school,Afraid,Afraid,Afraid,Not afraid,Not afraid,current smoker,social drinker,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1,1.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,2,1.0,3,1.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0
female,masters degree,Afraid,Afraid,Afraid,Afraid,Not afraid,tried smoking,social drinker,3.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,1,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,3,3.0,3,2.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0
male,college/bachelor degree,Not afraid,Not afraid,Not afraid,Neutral,Not afraid,tried smoking,social drinker,2.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1,2.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3,3.0,3,3.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0
female,secondary school,Neutral,Afraid,Afraid,Not afraid,Afraid,tried smoking,social drinker,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,1,3.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,3,1.0,2,1.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0
female,secondary school,Neutral,Afraid,Afraid,Afraid,Neutral,never smoked,social drinker,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,3,2.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,3,3.0,1,1.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0
female,secondary school,Afraid,Afraid,Not afraid,Not afraid,Not afraid,tried smoking,social drinker,2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,3,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2,1.0,1,2.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0
female,secondary school,Not afraid,Afraid,Afraid,Afraid,Neutral,never smoked,never,2.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,1,1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2,1.0,1,1.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0
female,secondary school,Neutral,Afraid,Not afraid,Neutral,Neutral,never smoked,social drinker,3.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3,2.0,2,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
male,college/bachelor degree,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,tried smoking,social drinker,3.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3,1.0,2,2.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0
female,secondary school,Not afraid,Afraid,Not afraid,Afraid,Not afraid,never smoked,never,2.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1,3.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,3,2.0,2,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0
