"","Value","Std. Error","t value","p value"
"Daily_events",-0.0881733868023857,0.069238376082821,-1.27347566177628,0.203
"Prioritising_workload",0.0553712134662966,0.0747454961672441,0.740796654053948,0.459
"Writing_notes",-0.144421758392188,0.0603418311256228,-2.39339369883428,0.017
"Workaholism",0.0580552051038058,0.0686398159735394,0.845794882757058,0.398
"Thinking_ahead",0.0920147397616613,0.0742333856453427,1.23953311521141,0.215
"Final_judgement",-0.00684485165720403,0.0628962528388157,-0.108827654244289,0.913
"Reliability",0.0288593333328631,0.0902586263112526,0.319740444900447,0.749
"Keeping_promises",0.0186638852812134,0.0920409785923803,0.202777997003592,0.839
"Loss_of_interest",0.0624286061180816,0.0582859784053894,1.07107417300057,0.284
"Friends_versus_money",-0.0377866612284539,0.0712383808079598,-0.530425604847995,0.596
"Funniness",-0.081091646540367,0.0671321865269068,-1.20793989791864,0.227
"Fake",-0.0789971683313852,0.0778384938382828,-1.0148856232433,0.31
"Criminal_damage",-0.102739450668596,0.0524967518947395,-1.95706299838507,0.05
"Decision_making",0.0105397372764929,0.069336887231126,0.152007649858292,0.879
"Elections",0.0991706847633217,0.0481713519981608,2.05870669287231,0.04
"Self_criticism",0.00525320021851964,0.0697142354620812,0.0753533361400335,0.94
"Judgment_calls",0.0770465602145455,0.08101608467454,0.951003254774147,0.342
"Hypochondria",0.0592720843955015,0.0726173006413908,0.816225388054665,0.414
"Empathy",0.00431295386722385,0.0703221158265562,0.0613314007482568,0.951
"Eating_to_survive",0.0204166268041795,0.0619342169065719,0.329650196998181,0.742
"Giving",0.0444800798189089,0.0620799697455523,0.716496480285344,0.474
"Compassion_to_animals",0.0259348526477128,0.0661826249874766,0.391867996360379,0.695
"Borrowed_stuff",0.0121504452216863,0.0765469719128282,0.158731886031014,0.874
"Loneliness",-0.0162466022115269,0.0793805585169895,-0.204667270110599,0.838
"Cheating_in_school",0.0799454085423743,0.0646628933327042,1.23634134543034,0.216
"Health",0.0243119897270008,0.0800495268221125,0.303711848054109,0.761
"Changing_the_past",0.0165386786061226,0.0661071504695449,0.250179874471248,0.802
"God",0.0214778610690914,0.0577730021471942,0.371762938930715,0.71
"Dreams",-0.176274888783007,0.115483221375611,-1.52641125423467,0.127
"Charity",-0.151620900888571,0.0793848266032374,-1.90994812706926,0.056
"Number_of_friends",0.00616447333172842,0.0894902885233825,0.0688842715052565,0.945
"Waiting",-0.012004411480142,0.0776914237703932,-0.154513984910606,0.877
"New_environment",0.0171818578013021,0.0740739093175205,0.231955596236341,0.817
"Mood_swings",0.0275663215619744,0.0836346576211451,0.329604046289596,0.742
"Appearence_and_gestures",-0.0203687500988601,0.0837825176341243,-0.243114562250443,0.808
"Socializing",-0.138559644418891,0.0784751833192759,-1.76564919708644,0.077
"Achievements",0.0221336101750818,0.0812553804749085,0.272395625320056,0.785
"Responding_to_a_serious_letter",0.00124635206102012,0.0632416048169482,0.0197077867430415,0.984
"Children",-0.0646416355381122,0.0713809911853038,-0.90558612965045,0.365
"Assertiveness",-0.0831297058242806,0.070016634856963,-1.18728507866889,0.235
"Getting_angry",0.0753819376115891,0.0746027373894783,1.01044465993309,0.312
"Knowing_the_right_people",0.0433068833653627,0.0740414704362723,0.584900368809355,0.559
"Public_speaking",-0.152924917082879,0.0636915771526392,-2.40102261428365,0.016
"Unpopularity",0.0228010059717083,0.0685050891796885,0.332836673081344,0.739
"Life_struggles",0.00338859295635817,0.0631604282476998,0.0536505696742419,0.957
"Happiness_in_life",-0.0781963350296249,0.112880296387827,-0.692736797580361,0.488
"Energy_levels",0.165187356667612,0.0962981895428091,1.71537344006014,0.086
"Small_big_dogs",-0.030467333607531,0.0643611353994299,-0.473380921862992,0.636
"Personality",-0.00721458321482258,0.130268814635714,-0.0553822742227109,0.956
"Finding_lost_valuables",-0.0133428564458365,0.0628376068944747,-0.212338710929008,0.832
"Getting_up",0.0408178548278204,0.0591802041443579,0.689721426581321,0.49
"Interests_or_hobbies",0.0201915947112404,0.0716902562177202,0.281650474925343,0.778
"Parents_advice",-0.0537267865539045,0.0950748135024217,-0.565100099328999,0.572
"Questionnaires_or_polls",-0.0520944359727513,0.0707562151595777,-0.736252438817732,0.462
"Afraid|Neutral",-2.74824793331486,1.23020903255317,-2.23396826115896,0.025
"Neutral|Not afraid",-1.335885050684,1.22419879239791,-1.09123212584398,0.275
"Not afraid|Somewhat afraid",0.0450935761708151,1.22295063528727,0.036872768916157,0.971
"Somewhat afraid|Very Afraid",1.33180182352726,1.22716694734616,1.08526539637283,0.278
