"","Value","Std. Error","t value"
"Daily_events",-0.122271981488211,0.108642394499926,-1.12545366890173
"Prioritising_workload",0.065031304747587,0.117662720232551,0.552692514834416
"Writing_notes",-0.0151374910447327,0.102062854466537,-0.148315380006305
"Workaholism",-0.0221904073842414,0.111056439395436,-0.199811983033497
"Thinking_ahead",0.147692102495153,0.115993204061783,1.27328237623719
"Final_judgement",-0.145783479917039,0.117085546628197,-1.24510227022274
"Reliability",-0.0652030529471835,0.14615799909848,-0.446113475481082
"Keeping_promises",-0.142610713736499,0.161648441739845,-0.882227581049091
"Loss_of_interest",0.0390636560142079,0.100137670281749,0.390099509048869
"Friends_versus_money",0.0303244536479045,0.124726678831407,0.243127243762291
"Funniness",-0.0503637156892551,0.10853402514031,-0.464036191638023
"Fake",0.145175404992218,0.132600352648257,1.09483423002138
"Criminal_damage",-0.0878508758653593,0.0956831059367373,-0.918144065300761
"Decision_making",-0.0113710178226998,0.111730982345998,-0.101771393967405
"Elections",0.125190638282415,0.0964510756354829,1.29797036951198
"Self_criticism",-0.140401599948635,0.121244263921833,-1.15800612257544
"Judgment_calls",0.240403963226897,0.139321295766544,1.72553637191068
"Hypochondria",-0.0917579560839912,0.126484188660998,-0.725450011225674
"Empathy",-0.236439160014762,0.126560367549014,-1.86819274148516
"Eating_to_survive",-0.00754873411040995,0.110580928591048,-0.0682643400321476
"Giving",0.219387622320953,0.107023385675276,2.04990358823637
"Compassion_to_animals",-0.281451890560953,0.12118863991749,-2.32242799946081
"Borrowed_stuff",0.0787676097186039,0.139212335948865,0.565809123033009
"Loneliness",0.0847954800006013,0.1200052625683,0.706598012335839
"Cheating_in_school",0.249774619100072,0.113606415602929,2.19859607201298
"Health",-0.609418090015974,0.121064533281709,-5.03382843427725
"Changing_the_past",-0.0741262087269173,0.108147122160209,-0.685420076339218
"God",0.265899783797513,0.108095296469135,2.45986451291558
"Dreams",0.039848920160494,0.145968838243238,0.272996076697488
"Charity",0.124824988934216,0.140930776093108,0.885718452666071
"Number_of_friends",-0.148462122690121,0.135154601873557,-1.0984614702873
"Waiting",0.224985857616583,0.114581976541006,1.96353618962112
"New_environment",-0.12579202160601,0.120221374674516,-1.04633657655783
"Mood_swings",-0.100065942132719,0.119973212485797,-0.834069039741395
"Appearence_and_gestures",-0.325348846842837,0.131591853123762,-2.47240873290876
"Socializing",0.112278648995343,0.120908338250374,0.928626185919783
"Achievements",-0.04528684873138,0.118570540993526,-0.381940137507282
"Responding_to_a_serious_letter",0.143610672509558,0.103576711223433,1.38651508445528
"Children",0.0678324201363242,0.116868739448591,0.580415434070485
"Assertiveness",-0.136825041287445,0.112884887994284,-1.21207580322331
"Getting_angry",-0.140916477683756,0.112639679327061,-1.25103763190403
"Knowing_the_right_people",-0.263555430516681,0.121168860324326,-2.17510860307869
"Public_speaking",-0.0477580530263118,0.109008490482246,-0.438113148939442
"Unpopularity",0.0419198405063415,0.118239284278036,0.35453395005139
"Life_struggles",-0.228919886160735,0.105138486726087,-2.17731768155585
"Happiness_in_life",0.169093085873222,0.157966177832964,1.07043854699089
"Energy_levels",0.159347392330723,0.148110486030327,1.07586840474006
"Small_big_dogs",-0.148732316107962,0.109510145209649,-1.35816015788514
"Personality",-0.052279519846628,0.169238972293997,-0.308909461798253
"Finding_lost_valuables",0.203055728921617,0.105523769444701,1.92426530998807
"Getting_up",-0.112885517978969,0.105830196639769,-1.06666642946167
"Interests_or_hobbies",-0.0108332444146392,0.118651202678601,-0.0913032836589438
"Parents_advice",-0.18413916455033,0.128281706407759,-1.43542808796931
"Questionnaires_or_polls",0.0424293883122555,0.10982866496029,0.38632344595645
"Afraid|Neutral",-4.23208836912663,1.37711493638261,-3.07315552051408
"Neutral|Not afraid",-2.99113705062373,1.37284717987502,-2.17878369455224
