,Value,Std. Error,t value,p value
Not afraid much|Very afraid,3.681528485,1.241812802,2.964640468,0.003
Giving,0.175098331,0.062453663,2.803651909,0.005
Loneliness,0.204403757,0.078399809,2.607197128,0.009
Compassion_to_animals,-0.147843552,0.069349728,-2.131854824,0.033
Questionnaires_or_polls,0.140952398,0.071095025,1.982591568,0.047
Getting_angry,0.138687863,0.073267441,1.892898964,0.058
Energy_levels,0.17553632,0.093949038,1.868420618,0.062
God,-0.105033961,0.058452777,-1.796902842,0.072
Funniness,-0.119280951,0.067599529,-1.764523408,0.078
Getting_up,0.103147845,0.061056941,1.68937132,0.091
Dreams,-0.190013536,0.114376805,-1.661294316,0.097
Children,-0.11601983,0.070487462,-1.645964071,0.1
Changing_the_past,-0.109640409,0.067591189,-1.622110969,0.105
Elections,0.075635145,0.048334757,1.564819,0.118
Not afraid at all|Not afraid much,1.903976686,1.236927277,1.539279408,0.124
Prioritising_workload,0.113428643,0.07462304,1.520021746,0.129
Fake,-0.116556378,0.07864348,-1.482085709,0.138
Knowing_the_right_people,0.111622857,0.075454248,1.479344888,0.139
Judgment_calls,0.12195426,0.082832963,1.472291405,0.141
Eating_to_survive,-0.089011129,0.06367023,-1.398002314,0.162
Friends_versus_money,0.096693393,0.072709796,1.329853721,0.184
Daily_events,-0.086764611,0.068966098,-1.258076266,0.208
Socializing,0.08910277,0.078598797,1.133640383,0.257
Happiness_in_life,-0.119666996,0.115210193,-1.0386841,0.299
Decision_making,-0.071757151,0.069860627,-1.027147247,0.304
Criminal_damage,0.047854438,0.05241748,0.912948089,0.361
Life_struggles,-0.055508978,0.063456647,-0.874754349,0.382
Borrowed_stuff,0.067244886,0.077126877,0.871873577,0.383
Empathy,-0.060415502,0.070927432,-0.851793167,0.394
Hypochondria,0.057297534,0.071129753,0.805535399,0.421
Appearence_and_gestures,-0.068462091,0.085599122,-0.799798991,0.424
Small_big_dogs,-0.051171937,0.06524538,-0.784299772,0.433
Achievements,0.064492105,0.083810777,0.76949657,0.442
Mood_swings,-0.061356521,0.08215814,-0.746810011,0.455
Waiting,-0.057892261,0.078055423,-0.741681473,0.458
Writing_notes,-0.042632604,0.059726069,-0.713802265,0.475
Keeping_promises,0.068125451,0.096372425,0.706897749,0.48
Thinking_ahead,0.048104059,0.073563839,0.653909034,0.513
Unpopularity,0.04396311,0.068729126,0.639657622,0.522
Neutral|Not afraid at all,0.791368929,1.234966006,0.640802196,0.522
Parents_advice,0.062315276,0.098110517,0.635153886,0.525
Health,-0.049125312,0.077450643,-0.634278947,0.526
Assertiveness,-0.044790898,0.070900685,-0.631741393,0.528
Loss_of_interest,0.031776032,0.058357531,0.544506106,0.586
Responding_to_a_serious_letter,0.033863002,0.064399387,0.525828013,0.599
Final_judgement,0.029259183,0.062376838,0.469071268,0.639
Number_of_friends,-0.039255724,0.08534169,-0.459982967,0.646
Workaholism,0.028297578,0.069680632,0.406103928,0.685
Charity,-0.030350244,0.079730309,-0.380661312,0.703
A little afraid|Neutral,-0.440068845,1.233031721,-0.356899858,0.721
Reliability,0.032517597,0.09133103,0.356041057,0.722
Public_speaking,0.018968579,0.064727031,0.293054983,0.769
Interests_or_hobbies,0.017391998,0.070348376,0.247226715,0.805
New_environment,0.018614857,0.076615552,0.242964469,0.808
Cheating_in_school,0.014277417,0.06471135,0.220632345,0.825
Personality,0.029006363,0.132786941,0.218442892,0.827
Finding_lost_valuables,-0.012914695,0.062981006,-0.205056987,0.838
Self.criticism,-0.008186982,0.070680664,-0.115830578,0.908
