"","Value","Std. Error","t value","p value"
"Daily_events",-0.0693974736292295,0.10575802752462,-0.656191073657023,0.512
"Prioritising_workload",0.0106102019665905,0.116120987475536,0.0913719577938122,0.927
"Writing_notes",0.0371399051862948,0.100389755423614,0.369957123907474,0.711
"Workaholism",-0.0447112947299305,0.108880627940536,-0.410645085132584,0.681
"Thinking_ahead",0.0581945477091912,0.112242101044328,0.518473435259452,0.604
"Final_judgement",-0.13752785255496,0.111779145776787,-1.23035340446769,0.219
"Reliability",-0.0444240012629269,0.140710248774465,-0.315712619726309,0.752
"Keeping_promises",0.15719525592702,0.157591866688722,0.997483304373279,0.319
"Loss_of_interest",0.136744758681245,0.0979220155473942,1.39646593176037,0.163
"Friends_versus_money",0.00481364407840632,0.122932206052096,0.0391568998311671,0.969
"Funniness",-0.181174744754776,0.105676857884487,-1.71442213916707,0.086
"Fake",-0.122398551188371,0.127916544212771,-0.956862553953761,0.339
"Criminal_damage",0.0585140531482752,0.0944868463371479,0.619282528908685,0.536
"Decision_making",-0.115576540096581,0.110151464312095,-1.04925105461254,0.294
"Elections",0.0316049688540364,0.0936925262043217,0.337326467055796,0.736
"Self_criticism",0.207723509980173,0.117878081682266,1.76218943348671,0.078
"Judgment_calls",0.0309578886181604,0.136650514739657,0.226547910757165,0.821
"Hypochondria",-0.095262887579137,0.120250160480932,-0.792205908068144,0.428
"Empathy",-0.117296483909374,0.123209517684352,-0.952008303529554,0.341
"Eating_to_survive",-0.193666375904458,0.106721389004058,-1.81469129770317,0.07
"Giving",0.0765279728545768,0.103576596868998,0.73885390298513,0.46
"Compassion_to_animals",0.0806084810256715,0.117230206216192,0.68760845542672,0.492
"Borrowed_stuff",0.117188133470784,0.130122268481726,0.900600141990624,0.368
"Loneliness",0.196505034380006,0.118040689346902,1.66472286350777,0.096
"Cheating_in_school",0.0847097760981295,0.107225996293208,0.790011555280793,0.43
"Health",-0.190931433312953,0.115894364365484,-1.64746089560345,0.099
"Changing_the_past",0.0600625528930051,0.10676445636409,0.562570680715862,0.574
"God",0.000775009919007026,0.104261311162219,0.00743334138395014,0.994
"Dreams",0.143500989366336,0.142365930605632,1.00797282577282,0.313
"Charity",-0.043024541878364,0.137857051193879,-0.312095329950553,0.755
"Number_of_friends",-0.12248221397181,0.131122253498047,-0.934106993315473,0.35
"Waiting",0.202618039260182,0.11169280362377,1.81406529952179,0.07
"New_environment",0.0939020187701068,0.11616708816335,0.808335822604639,0.419
"Mood_swings",-0.121945764512075,0.119180399834639,-1.02320318342004,0.306
"Appearence_and_gestures",-0.226430814628199,0.127313865470255,-1.77852438767639,0.075
"Socializing",-0.0925319217798796,0.116069425957488,-0.797211849861053,0.425
"Achievements",-0.00776808379130242,0.116030534972566,-0.0669486165270125,0.947
"Responding_to_a_serious_letter",0.0714570308452437,0.0999198954149757,0.715143170921833,0.475
"Children",0.0408392914891612,0.115383792445579,0.353943050610191,0.723
"Assertiveness",-0.0470460482129889,0.109686066122478,-0.428915448207032,0.668
"Getting_angry",0.0795500168695916,0.111894910766269,0.710935075820914,0.477
"Knowing_the_right_people",0.268345091736363,0.116988908925264,2.2937652312647,0.022
"Public_speaking",-0.0955578413268443,0.105098193201561,-0.909224396879782,0.363
"Unpopularity",0.0991381864903451,0.114081065902092,0.86901525425287,0.385
"Life_struggles",-0.187124748397978,0.104166896490021,-1.7963936212298,0.072
"Happiness_in_life",0.10175484357232,0.154489548840762,0.658651956302893,0.51
"Energy_levels",0.333066234516969,0.14209171193781,2.3440229551372,0.019
"Small_big_dogs",0.0584303080658653,0.106797382927981,0.547113669491957,0.584
"Personality",0.0465669326939135,0.164231162589132,0.283545046870387,0.777
"Finding_lost_valuables",-0.00424181356486634,0.10396194269093,-0.0408015996534124,0.967
"Getting_up",-0.0582503197412153,0.102271088717366,-0.569567807204974,0.569
"Interests_or_hobbies",0.0228078247230894,0.11571403388436,0.197105087062151,0.844
"Parents_advice",0.0801123055921167,0.124494182653707,0.64350240215607,0.52
"Questionnaires_or_polls",0.0151678299113807,0.107416978543843,0.141205143888774,0.888
"Afraid|Neutral",0.847131832472695,1.26982915103776,0.667122684796127,0.505
"Neutral|Not afraid",1.87363106596009,1.27143789434482,1.47363160583284,0.141
