"","Value","Std. Error","t value","p value"
"Daily_events",0.0965008510374741,0.0687412699793519,1.40382700329017,0.16
"Prioritising_workload",-0.0496842752874448,0.0760557157623415,-0.653261556865732,0.514
"Writing_notes",0.0989282257430587,0.0598122616737102,1.65397901658919,0.098
"Workaholism",-0.0055000279673896,0.0689010857536868,-0.0798249825416619,0.936
"Thinking_ahead",0.0878197688160072,0.0750030774163006,1.1708822069869,0.242
"Final_judgement",-0.0839368720200813,0.0637430470484965,-1.31680043403355,0.188
"Reliability",-0.0147067853327109,0.08810075904765,-0.166931425922865,0.867
"Keeping_promises",0.000708758378408535,0.0955081578247582,0.00742091978895656,0.994
"Loss_of_interest",0.0102553539521025,0.0579523495555899,0.176961832104239,0.86
"Friends_versus_money",0.0282732556565242,0.0703624402972099,0.401823125194329,0.688
"Funniness",-0.0101291230617301,0.0691368086310192,-0.14650839780281,0.884
"Fake",-0.0168319001399253,0.0783616745470213,-0.214797606575205,0.83
"Criminal_damage",0.0118696406129299,0.0513960784667457,0.230944479949182,0.817
"Decision_making",-0.0700327858187917,0.0698691885776534,-1.00234147904776,0.316
"Elections",0.053562455364685,0.0486240391270652,1.10156326636532,0.271
"Self.criticism",0.0434354965892681,0.0695834184325032,0.624221942062261,0.532
"Judgment_calls",0.0768520045164659,0.083829837750177,0.916761937980772,0.359
"Hypochondria",0.0163384819278897,0.071445951610011,0.228683103236886,0.819
"Empathy",-0.0439317746225594,0.0721103474683248,-0.609229828518811,0.542
"Eating_to_survive",0.0739517036610611,0.0621338845730817,1.19019926356092,0.234
"Giving",0.00902349004433626,0.0621330474914885,0.145228512179004,0.885
"Compassion_to_animals",-0.0917860853052041,0.067602526644917,-1.35773157987587,0.175
"Borrowed_stuff",-0.0663826529281164,0.0747753284983404,-0.887761434971025,0.375
"Loneliness",0.0386942917519165,0.0761436230297389,0.50817508035839,0.611
"Cheating_in_school",0.0270774512928461,0.0638360990859647,0.424171459104704,0.671
"Health",-0.145140357902276,0.0765198695821483,-1.89676692726796,0.058
"Changing_the_past",0.0157640313207429,0.0662826328394691,0.237830494134444,0.812
"God",0.136758382053758,0.058439109221901,2.34018594524548,0.019
"Dreams",0.109499145164129,0.113682984958955,0.963197308758767,0.335
"Charity",-0.109451795823947,0.0803246246362508,-1.36261820481076,0.173
"Number_of_friends",0.00488337999552474,0.084739962820801,0.0576278279216571,0.954
"Waiting",-0.000814375639600557,0.0782037921568098,-0.0104135057538849,0.992
"New_environment",0.146136651169518,0.0753668889352568,1.9390033638652,0.053
"Mood_swings",-0.111989384726735,0.0828153324674947,-1.35227839326361,0.176
"Appearence_and_gestures",0.115509180745002,0.0854077169175829,1.35244430964554,0.176
"Socializing",0.100808915715758,0.078224940118672,1.2887055658058,0.198
"Achievements",-0.0316205150389981,0.0830001892134132,-0.380969192223095,0.703
"Responding_to_a_serious_letter",-0.0515112530706889,0.065097496560536,-0.79129391746712,0.429
"Children",-0.0632743165130997,0.0697364302690529,-0.907335180034002,0.364
"Assertiveness",-0.0699147507629114,0.0724622647561658,-0.964843577525119,0.335
"Getting_angry",-0.0272436225139871,0.0743136604983174,-0.366603156556982,0.714
"Knowing_the_right_people",-0.0535299321556936,0.0765463711068548,-0.699313780413817,0.484
"Unpopularity",0.0440648687654552,0.0685219563731102,0.643076629708538,0.52
"Life_struggles",0.153433468420208,0.0657239657850362,2.33451324166961,0.02
"Happiness_in_life",0.085287073970132,0.112954387268331,0.755057647893986,0.45
"Energy_levels",-0.114437789520453,0.0945618518702919,-1.21018980970703,0.226
"Small_big_dogs",-0.0291261048324738,0.065220242335703,-0.446580751456815,0.655
"Personality",-0.0174779986004246,0.130094722574613,-0.134348252216,0.893
"Finding_lost_valuables",0.116797778877296,0.0637710819755159,1.8315163434445,0.067
"Getting_up",-0.0328057956614299,0.0598004033369114,-0.548588200594639,0.583
"Interests_or_hobbies",0.0546287936382593,0.0708065027241776,0.771522268951234,0.44
"Parents_advice",-0.180121628623816,0.0959961677789121,-1.87634186646547,0.061
"Questionnaires_or_polls",-0.00128066790451479,0.0701738424636063,-0.0182499327321141,0.985
"A little afraid|Neutral",-0.678774204324279,1.16185347722175,-0.58421669998129,0.559
"Neutral|Not afraid at all",0.931386180947136,1.16413719490939,0.80006564949557,0.424
"Not afraid at all|Not afraid much",1.66966657883635,1.16535773026306,1.43275024953878,0.152
"Not afraid much|Very afraid",3.22281417445577,1.16815508932926,2.75889237986906,0.006
