"","Value","Std. Error","t value","p value"
"Daily_events",0.0897738957279742,0.0687738935790766,1.30534845500279,0.192
"Prioritising_workload",-0.0343786504593592,0.0763022035351699,-0.450559077805834,0.652
"Writing_notes",0.0933345538716036,0.0597660035905732,1.56166630298709,0.118
"Workaholism",-0.0148885990272396,0.0689810567546316,-0.215836053080471,0.829
"Thinking_ahead",0.0899054464137535,0.0749006829153337,1.20032879426989,0.23
"Final_judgement",-0.0808811396555899,0.0638354418457529,-1.26702561017788,0.205
"Reliability",-0.0105000338051382,0.0882556841828503,-0.118972889988411,0.905
"Keeping_promises",0.00269119687809052,0.0955123133927369,0.0281764390631456,0.978
"Loss_of_interest",0.0197130787370573,0.0581247833126779,0.339151006052138,0.734
"Friends_versus_money",0.0210448530240283,0.0705302774118604,0.298380409042449,0.765
"Funniness",-0.00748063512048459,0.069100580123864,-0.108257197075269,0.914
"Fake",-0.0148254715085836,0.0783722911833511,-0.189167259049497,0.85
"Criminal_damage",0.00494886125045404,0.051483366903936,0.0961254391090666,0.923
"Decision_making",-0.0588023597673518,0.0700627240866947,-0.839281665591398,0.401
"Elections",0.0478928325490436,0.0486830523009398,0.983768072983359,0.325
"Self.criticism",0.0366716109629229,0.0696841090288466,0.526255002381421,0.599
"Judgment_calls",0.0698628720585764,0.0837818608487731,0.833866320833807,0.404
"Hypochondria",0.00802620678912122,0.0716058142652863,0.112088758035564,0.911
"Empathy",-0.0465657311745449,0.072211161689106,-0.644855034669384,0.519
"Eating_to_survive",0.0799058562254927,0.0621660889648001,1.28536083829783,0.199
"Giving",0.0148066318386709,0.0620864582434892,0.238484079420388,0.812
"Compassion_to_animals",-0.0930691872848018,0.0676035156728119,-1.37669152792643,0.169
"Borrowed_stuff",-0.0554265536531703,0.0749854037464546,-0.739164569155113,0.46
"Loneliness",0.0300600869414885,0.0763913177212204,0.393501353795056,0.694
"Cheating_in_school",0.0344358437171897,0.0639100945340847,0.538816973566269,0.59
"Health",-0.138809709501123,0.0766011791683892,-1.81210930442707,0.07
"Changing_the_past",0.0123745450268673,0.0663019848562246,0.186639133861549,0.852
"God",0.141973552662435,0.0585378918863857,2.42532739200767,0.015
"Dreams",0.109695758726058,0.113521817569287,0.966296709080674,0.334
"Charity",-0.119870055420522,0.080470121893925,-1.48962189442852,0.136
"Number_of_friends",-0.000246892453573888,0.084789924472699,-0.00291181358055559,0.998
"Waiting",-0.00457121351483984,0.0781791661381943,-0.0584709934966495,0.953
"New_environment",0.123319638510854,0.076136767594001,1.61971203149121,0.105
"Mood_swings",-0.101228478212651,0.0831430966839629,-1.21752114426809,0.223
"Appearence_and_gestures",0.127591196836355,0.0854048904609485,1.49395656557509,0.135
"Socializing",0.0783372727051475,0.078919716307648,0.992619796043995,0.321
"Achievements",-0.036369241350905,0.0830321819863016,-0.438013797552678,0.661
"Responding_to_a_serious_letter",-0.0488041387270418,0.06502404872177,-0.750555212823932,0.453
"Children",-0.0479221139929388,0.0701483588116597,-0.683153744503192,0.495
"Assertiveness",-0.0683346781571781,0.0724863873166762,-0.942724291923114,0.346
"Getting_angry",-0.0311398289450324,0.074488325699921,-0.418049790385683,0.676
"Knowing_the_right_people",-0.0530217988464815,0.0765379556383077,-0.692751699523364,0.488
"Public_speaking",-0.127261837243744,0.063762184370418,-1.99588264580826,0.046
"Unpopularity",0.0546215341569337,0.0686699195198478,0.795421554865029,0.426
"Life_struggles",0.15040572026676,0.0659147820559598,2.28182079308204,0.022
"Happiness_in_life",0.0773211617177333,0.113363658977235,0.682063038678565,0.495
"Energy_levels",-0.12161691768994,0.0946375925975489,-1.28508042472215,0.199
"Small_big_dogs",-0.0294120776979526,0.0651460218139265,-0.451479259653965,0.652
"Personality",-0.0286649835630365,0.129882679316305,-0.220699047124124,0.825
"Finding_lost_valuables",0.119633562261147,0.0637225561833522,1.87741310811386,0.06
"Getting_up",-0.0230797443091827,0.0598685034963179,-0.385507286157607,0.7
"Interests_or_hobbies",0.0336780024840243,0.0714138123959949,0.471589477638826,0.637
"Parents_advice",-0.171872994053148,0.0960184207942399,-1.79000021695274,0.073
"Questionnaires_or_polls",0.00229470717916969,0.0701219968612803,0.0327244984724155,0.974
"A little afraid|Neutral",-1.21954885310066,1.19672927526195,-1.0190682874652,0.308
"Neutral|Not afraid at all",0.410889533785075,1.19636822420455,0.343447381393192,0.731
"Not afraid at all|Not afraid much",1.15668627154393,1.19661224803986,0.966634156919807,0.334
"Not afraid much|Very afraid",2.70230281611979,1.19999318963601,2.25193179382915,0.024
