"","Value","Std. Error","t value","p value"
"Daily_events",0.158612350866918,0.109672963160358,1.44623019471995,0.148
"Prioritising_workload",0.109374299487116,0.119100050711473,0.918339655052559,0.358
"Writing_notes",0.128736683382386,0.102729010072196,1.25316775944703,0.21
"Workaholism",-0.051499693111769,0.112455278722256,-0.457957098118656,0.647
"Thinking_ahead",0.0996870083723994,0.118715688992193,0.839712166257614,0.401
"Final_judgement",-0.140709308926595,0.116397991115304,-1.20886372331983,0.227
"Reliability",-0.0719359536677923,0.142890202636534,-0.503435171484598,0.615
"Keeping_promises",0.0465835736267436,0.164235672484677,0.283638584249046,0.777
"Loss_of_interest",0.0347529968714531,0.102876313230455,0.337813397274475,0.736
"Friends_versus_money",-0.20938576205368,0.127016020801299,-1.64849883292469,0.099
"Funniness",0.0483801655216281,0.111914399647905,0.432296162726488,0.666
"Fake",-0.136458547184858,0.131853492715083,-1.03492554027163,0.301
"Criminal_damage",-0.00146418947231501,0.0974513197100747,-0.015024829593597,0.988
"Decision_making",-0.0121946519054665,0.112811954552814,-0.108097160037746,0.914
"Elections",0.0505901150435879,0.097344539412875,0.519701622183614,0.603
"Self_criticism",-0.00298516017891247,0.11984134629381,-0.024909267721291,0.98
"Judgment_calls",0.149949838914499,0.14166821027644,1.05845791813067,0.29
"Hypochondria",-0.289689498906659,0.128786960966432,-2.24936978660569,0.024
"Empathy",-0.090898493957817,0.129422717557638,-0.702338010460457,0.482
"Eating_to_survive",0.123268762656105,0.111230451595124,1.10822855511547,0.268
"Giving",-0.00115436738030834,0.105950700348666,-0.0108953256232334,0.991
"Compassion_to_animals",-0.0169742047959494,0.122162234896612,-0.138948053875366,0.889
"Borrowed_stuff",-0.224261943968203,0.139954138380462,-1.60239594601021,0.109
"Loneliness",-0.139775007177106,0.121311833966212,-1.15219597797884,0.249
"Cheating_in_school",-0.161438162476999,0.111862309129085,-1.44318639346794,0.149
"Health",-0.232369243066116,0.118373594683589,-1.96301585406133,0.05
"Changing_the_past",-0.226291447462805,0.110451886638785,-2.04877847132529,0.04
"God",0.219113108646903,0.108250045701892,2.02413871722803,0.043
"Dreams",-0.158336494033111,0.147497306123477,-1.07348736186788,0.283
"Charity",-0.131302255182926,0.142863119449127,-0.919077335628819,0.358
"Number_of_friends",0.197700024697876,0.133305501575715,1.48305975643162,0.138
"Waiting",0.0983954392333764,0.114236030493209,0.861334544001208,0.389
"New_environment",0.36533409817371,0.119490930924245,3.05742113939446,0.002
"Mood_swings",-0.122903141459185,0.122841747358438,-1.00049978205347,0.317
"Appearence_and_gestures",0.367288883669637,0.133559687281324,2.74999808060344,0.006
"Socializing",0.276012515155418,0.116146856344001,2.37640969238057,0.017
"Achievements",0.0361563521645805,0.120005710997136,0.301288595885601,0.763
"Responding_to_a_serious_letter",0.130220952634012,0.102959224118909,1.26478179831288,0.206
"Children",0.0306809202938774,0.118896271608009,0.258047791397781,0.796
"Assertiveness",0.277673685375899,0.113112278124009,2.45485008330814,0.014
"Getting_angry",-0.017355691126618,0.115247989115283,-0.150594307630453,0.88
"Knowing_the_right_people",0.043244464778249,0.119238160497746,0.362673028481235,0.717
"Public_speaking",-1.06877143222743,0.11763653286421,-9.08537004793513,0
"Unpopularity",0.12963435502199,0.119449790490015,1.08526230552766,0.278
"Life_struggles",0.146262714782652,0.108075705354633,1.35333574093006,0.176
"Happiness_in_life",-0.0741581000171191,0.157743360686842,-0.470118676907998,0.638
"Energy_levels",0.0706533115052866,0.147118348732955,0.480248127536657,0.631
"Small_big_dogs",0.0019119736369234,0.111163385493645,0.0171996708127669,0.986
"Personality",0.0239821821459652,0.16941477106176,0.141558979749307,0.887
"Finding_lost_valuables",0.0970172517117144,0.107453649692457,0.902875351273662,0.367
"Getting_up",-0.144235976098086,0.105592108436084,-1.36597306592654,0.172
"Interests_or_hobbies",-0.0325756366335603,0.118237498326217,-0.275510198496286,0.783
"Parents_advice",-0.400373401032649,0.131221061784423,-3.05113672750495,0.002
"Questionnaires_or_polls",-0.129528415212565,0.111672606448504,-1.15989425994364,0.246
"Afraid|Neutral",-2.962162405575,1.30781018982596,-2.26497883914577,0.024
"Neutral|Not afraid",-1.13003382580346,1.30350913830449,-0.866916688649634,0.386
