"","Value","Std. Error","t value","p value"
"Daily_events",0.0780509958687829,0.106261127803031,0.734520680163122,0.463
"Prioritising_workload",-0.0188688140374353,0.11463181120849,-0.164603645694101,0.869
"Writing_notes",-0.1211301179862,0.0982416604430706,-1.2329811756021,0.218
"Workaholism",-0.0243824544587353,0.107975825395476,-0.225814013177776,0.821
"Thinking_ahead",0.28384345780268,0.112309795625698,2.52732592220773,0.011
"Final_judgement",0.0271628517331664,0.112812068603718,0.240779661869184,0.81
"Reliability",0.0304728919832182,0.14200815215437,0.214585511612689,0.83
"Keeping_promises",0.233665661731002,0.159209277755149,1.46766359992137,0.142
"Loss_of_interest",0.00441922486802115,0.0973697897064929,0.0453859958139199,0.964
"Friends_versus_money",0.00605893457624438,0.121019295897111,0.050065855459906,0.96
"Funniness",0.150213882356286,0.105702338075772,1.42110274087415,0.155
"Fake",-0.143790416860957,0.126208960679201,-1.13930434168176,0.255
"Criminal_damage",0.0876759122159567,0.0945148553208374,0.927641606373248,0.354
"Decision_making",0.038386627261878,0.108649011012297,0.353308575054894,0.724
"Elections",0.00553415603218453,0.0932815999737207,0.0593274132706087,0.953
"Self_criticism",-0.0287992724665199,0.114856134689937,-0.250742135317941,0.802
"Judgment_calls",-0.130279522048999,0.135822211137673,-0.959191585512798,0.337
"Hypochondria",-0.200219856115452,0.126457545251889,-1.58329703234897,0.113
"Empathy",0.046838900614229,0.120921252959664,0.387350440619841,0.698
"Eating_to_survive",0.1002956952246,0.105843693210003,0.94758310280807,0.343
"Giving",-0.156406610963676,0.102888581974883,-1.52015518108567,0.128
"Compassion_to_animals",-0.00598019218136368,0.115781951919381,-0.0516504695440588,0.959
"Borrowed_stuff",0.0796468560895446,0.132861302755379,0.599473695032093,0.549
"Loneliness",0.0774074134979519,0.118030369310613,0.655826241585703,0.512
"Cheating_in_school",0.161981882940602,0.108091092955888,1.49856827709852,0.134
"Health",-0.413063043908484,0.114256938253383,-3.61521190942864,0
"Changing_the_past",0.137143529752936,0.105614141142921,1.29853377842034,0.194
"God",-0.211551537081835,0.103770646814234,-2.03864525833154,0.041
"Dreams",-0.0233577047973015,0.142082219983242,-0.164395691452853,0.869
"Charity",0.211136268867635,0.139078790967085,1.51810543792838,0.129
"Number_of_friends",-0.266605602227347,0.130258698185605,-2.04673934210107,0.041
"Waiting",0.139727110869038,0.11015071638452,1.26850841696999,0.205
"New_environment",0.0681223890475425,0.11604909215416,0.5870135455868,0.557
"Mood_swings",0.0380163171041341,0.117072797536726,0.324723743722006,0.745
"Appearence_and_gestures",-0.0645605950547593,0.128761794697951,-0.501395582487846,0.616
"Socializing",0.184373562201285,0.114194198970163,1.61456154396651,0.106
"Achievements",-0.0609255814542271,0.115624088465796,-0.526928101770508,0.598
"Responding_to_a_serious_letter",0.0767155949335957,0.0997047968014223,0.769427323405381,0.442
"Children",-0.204297315130772,0.112979298911288,-1.8082721091338,0.071
"Assertiveness",-0.00967823233480533,0.108279451382172,-0.0893819853283704,0.929
"Getting_angry",-0.242916713913136,0.111527912549194,-2.17807998339419,0.029
"Knowing_the_right_people",-0.0107186899719468,0.115045219658857,-0.0931693642180954,0.926
"Public_speaking",-0.330060095205165,0.103918742016784,-3.17613636192649,0.001
"Unpopularity",-0.114932595180083,0.114193943579782,-1.00646839558339,0.314
"Life_struggles",-0.017414274842313,0.101948088334582,-0.170815119015879,0.864
"Happiness_in_life",-0.170660555072319,0.157255989763784,-1.08524041169224,0.278
"Energy_levels",0.0983986844854323,0.142641474828763,0.689832214673588,0.49
"Small_big_dogs",0.131637895135318,0.1050905232412,1.25261432787034,0.21
"Personality",0.0123031171618473,0.160551587491202,0.0766303052750661,0.939
"Finding_lost_valuables",-0.0312966562891048,0.103748308830356,-0.301659435627809,0.763
"Getting_up",0.0692417077408402,0.100241016552012,0.690752250152139,0.49
"Interests_or_hobbies",0.0312715547722799,0.114450426592135,0.273232312918517,0.785
"Parents_advice",-0.0196661644218428,0.123523389466794,-0.159210045212769,0.874
"Questionnaires_or_polls",-0.123567202755562,0.108734348599488,-1.1364136939902,0.256
"Afraid|Neutral",-1.57627623428372,1.28860261130152,-1.22324463760914,0.221
"Neutral|Not afraid",-0.613496606766016,1.28745919600123,-0.476517320837428,0.634
