"","Value","Std. Error","t value","p value"
"Daily_events",0.0893107097629073,0.0699653116404444,1.27649984926645,0.202
"Prioritising_workload",-0.0329426371317446,0.0752529238615372,-0.437758899472901,0.662
"Writing_notes",0.0607130899458009,0.0595429916375236,1.0196513187547,0.308
"Workaholism",-0.0219201270616678,0.0688187769748008,-0.31851956726424,0.75
"Thinking_ahead",0.0638205258984847,0.0733286676171825,0.870335272306655,0.384
"Final_judgement",-0.0920434309764555,0.0639204383897477,-1.43996870633507,0.15
"Reliability",-0.00432926148462436,0.0905905335514326,-0.0477893364229545,0.962
"Keeping_promises",-0.0658429167090031,0.0935101911833324,-0.704125570440917,0.481
"Loss_of_interest",0.0084821598294501,0.0589141293760906,0.14397496694388,0.886
"Friends_versus_money",-0.128801372077935,0.0708744372883664,-1.81731773832478,0.069
"Funniness",-0.0458268833747665,0.0682273615204283,-0.671678962127903,0.502
"Fake",0.0708453408287364,0.0781882941298181,0.906086283339422,0.365
"Criminal_damage",0.0376522742975267,0.0516922973946842,0.728392356215892,0.466
"Decision_making",-0.122677177736123,0.0690442238016743,-1.77679132273986,0.076
"Elections",-0.0323435068385288,0.0485757603906304,-0.665836346738226,0.506
"Self_criticism",0.0494397327477091,0.0688772463516456,0.717794850498228,0.473
"Judgment_calls",-0.0949830852834294,0.0819363609038279,-1.15922997111032,0.246
"Hypochondria",0.0694799338225085,0.0731213166685398,0.950200803104549,0.342
"Empathy",0.142001569796542,0.0720013651400838,1.97220663136411,0.049
"Eating_to_survive",0.126124418009068,0.0627300802373509,2.0105891389243,0.044
"Giving",-0.123429033107308,0.0621762404350528,-1.98514789964244,0.047
"Compassion_to_animals",0.160683941301823,0.0673437883358269,2.38602468427424,0.017
"Borrowed_stuff",0.0869800694459828,0.0764158914984672,1.13824582479323,0.255
"Loneliness",-0.289470553209947,0.0792273886202316,-3.65366773095974,0
"Cheating_in_school",0.096463820372067,0.0654757340526467,1.4732758901871,0.141
"Health",0.103470172298985,0.0765204835053371,1.35218921207899,0.176
"Changing_the_past",0.096856857391767,0.0660405796681299,1.46662639665637,0.142
"God",0.0954400393299128,0.0587957022502817,1.62324856540778,0.105
"Dreams",-0.207483499814095,0.11553995134534,-1.79577278160645,0.073
"Charity",0.0466141272425573,0.0811559437319608,0.574377243354017,0.566
"Number_of_friends",0.0666541898584609,0.0858977665317086,0.775971163742144,0.438
"Waiting",-0.0319719023439898,0.0766920839062719,-0.416886603095357,0.677
"New_environment",0.165080925325734,0.0754967335352168,2.18659692407393,0.029
"Mood_swings",0.101569959390781,0.0840248564147084,1.20880848506873,0.227
"Appearence_and_gestures",-0.0709075514597857,0.0845196006775163,-0.838948017872598,0.401
"Socializing",-0.0561917671086641,0.0798998181438955,-0.703277784781257,0.482
"Achievements",0.0127045509647994,0.0804354529962193,0.157947155036182,0.874
"Responding_to_a_serious_letter",0.0152138047848555,0.0648271438175267,0.234682632751473,0.814
"Children",-0.15089546188417,0.0712941841763637,-2.11651852991112,0.034
"Assertiveness",-0.0385215246305745,0.070864849523819,-0.543591426347793,0.587
"Getting_angry",0.0590652674642113,0.0735735701933305,0.802805508948451,0.422
"Knowing_the_right_people",-0.175820505409531,0.0739689372397674,-2.37695054127404,0.017
"Public_speaking",0.0398050040118702,0.0625815191139952,0.636050459870804,0.525
"Unpopularity",0.0468069649574478,0.0691254537662888,0.67713067194757,0.498
"Life_struggles",0.161126614388109,0.06433466743184,2.50450683620641,0.012
"Happiness_in_life",-0.209305773676848,0.113643981089615,-1.84176734808154,0.066
"Energy_levels",0.17693794822781,0.0955666525460288,1.85146118979724,0.064
"Small_big_dogs",-0.164905801108192,0.0658354559271881,-2.50481748452646,0.012
"Personality",0.305043163648301,0.130373650517303,2.33976085227295,0.019
"Finding_lost_valuables",0.0788823136712023,0.0630623889302174,1.25086148827141,0.211
"Getting_up",-0.0491485767894214,0.0608848270404924,-0.807238505526744,0.42
"Interests_or_hobbies",0.0302489823020007,0.0703812982202914,0.429787217157068,0.667
"Parents_advice",-0.098546575824812,0.0965901355980135,-1.02025507278446,0.308
"Questionnaires_or_polls",0.0321290255645356,0.0705571274056544,0.45536187123685,0.649
"Afraid|Neutral",-1.05834938191494,1.21282937121989,-0.872628423279712,0.383
"Neutral|Not afraid",-0.0562031593729657,1.2095848233858,-0.0464648351123032,0.963
"Not afraid|Somewhat afraid",1.20548541748727,1.20954257466969,0.996645709487714,0.319
"Somewhat afraid|Very Afraid",2.3037775711532,1.21315481831121,1.89899717363379,0.058
