"","Value","Std. Error","t value","p value"
"Daily_events",0.00233887579509921,0.0686226156951637,0.0340831629836,0.973
"Prioritising_workload",-0.075815638623011,0.0752222545759817,-1.00788841082169,0.314
"Writing_notes",0.0894059387571571,0.0589407181210594,1.51687902026447,0.129
"Workaholism",-0.0953408802616554,0.0690275424463328,-1.38120055970094,0.167
"Thinking_ahead",0.0337919774125154,0.0732793106134567,0.461139401143738,0.645
"Final_judgement",0.013732898217263,0.0630533425300842,0.217798100246799,0.828
"Reliability",0.186803909963535,0.0909518530306645,2.05387690012818,0.04
"Keeping_promises",-0.061398998136863,0.0944062624033057,-0.650369970951346,0.515
"Loss_of_interest",-0.0151976837613016,0.0585308328687576,-0.25965261412526,0.795
"Friends_versus_money",-0.0680396533335097,0.0707219328422686,-0.962072876108446,0.336
"Funniness",0.169697325356736,0.0687445608928706,2.4685200276599,0.014
"Fake",-0.0328168084321783,0.076944280011946,-0.426500948830548,0.67
"Criminal_damage",0.0851270575522017,0.0514222777825755,1.65545092950058,0.098
"Decision_making",-0.0606193935277758,0.0695956824811739,-0.87102233021673,0.384
"Elections",-0.0692985537736995,0.0489748469460527,-1.41498254910391,0.157
"Self.criticism",-0.0170619769127093,0.0694684126149396,-0.24560769809558,0.806
"Judgment_calls",-0.103509726282362,0.0815300557663835,-1.26958978881309,0.204
"Hypochondria",0.140268153111642,0.0725539601502178,1.93329423812604,0.053
"Empathy",-0.106012938961003,0.0721939423989174,-1.46844645739409,0.142
"Eating_to_survive",-0.0492093684149036,0.0620343571313064,-0.793259907743437,0.428
"Giving",-0.109106161614328,0.0623397327838166,-1.75018654623832,0.08
"Compassion_to_animals",0.21079495827107,0.067475947899528,3.12400143803752,0.002
"Borrowed_stuff",0.0243357006051754,0.0764854005182191,0.318174454736347,0.75
"Loneliness",-0.0958851563350281,0.0783434031271162,-1.2239084914329,0.221
"Cheating_in_school",0.0564109517668613,0.0637121583507011,0.885403245269912,0.376
"Health",0.0167100664752522,0.0756322985510231,0.220938234000375,0.825
"Changing_the_past",-0.0343535646058317,0.0656451069827806,-0.523322547327754,0.601
"God",-0.0362616428267598,0.0575424448439357,-0.63017209166394,0.529
"Dreams",-0.348989868803806,0.113422424858974,-3.07690361264741,0.002
"Charity",0.096705710616143,0.0803712314115231,1.20323788646441,0.229
"Number_of_friends",0.0327126978026447,0.0861913875781301,0.379535574514234,0.704
"Waiting",-0.150370194408589,0.0764224534955733,-1.96761799092591,0.049
"New_environment",0.0841311233749696,0.0752760204479329,1.11763510975134,0.264
"Mood_swings",-0.0140740998642036,0.0824542904329076,-0.170689721423964,0.864
"Appearence_and_gestures",-0.105016521362789,0.0849221034822972,-1.23662176343383,0.216
"Socializing",0.181543725162119,0.0784512604394117,2.3140957091738,0.021
"Achievements",-0.145535997558465,0.0816434159898068,-1.78258094414662,0.075
"Responding_to_a_serious_letter",-0.0180698366371041,0.0643484052861064,-0.280812501207479,0.779
"Children",-0.0233699849047904,0.0697345485036877,-0.335127786817958,0.738
"Assertiveness",-0.0948046489105039,0.0708985865209009,-1.33718672772913,0.181
"Getting_angry",-0.0472832689310445,0.0745067321088518,-0.634617404263084,0.526
"Knowing_the_right_people",-0.0402646231356717,0.0742542372081468,-0.542253542014086,0.588
"Public_speaking",-0.0201172067108502,0.0625072459601969,-0.32183799496878,0.748
"Unpopularity",-0.0961554513954303,0.0675197582536643,-1.42410834816951,0.154
"Life_struggles",0.0897824828945989,0.0634036161473179,1.41604672336023,0.157
"Happiness_in_life",-0.204248430060615,0.112833035300208,-1.81018289118238,0.07
"Energy_levels",0.180055562763432,0.0958027645236571,1.87944015664569,0.06
"Small_big_dogs",-0.0881552168380258,0.0654558110566039,-1.34678977183236,0.178
"Personality",0.131567581109366,0.132209680432012,0.995143325961094,0.32
"Finding_lost_valuables",0.157737735609073,0.0629797191925733,2.50457984937592,0.012
"Getting_up",0.0328524636853868,0.0594101226449234,0.552977543603742,0.58
"Interests_or_hobbies",-0.0176020913868487,0.0688214331048076,-0.255764673776011,0.798
"Parents_advice",0.0494116945517164,0.0948610848013251,0.520884772245681,0.602
"Questionnaires_or_polls",0.0954417030147591,0.0700455598761847,1.36256606676377,0.173
"A little afraid|Neutral",-2.87458374713773,1.22374417586325,-2.34900709137998,0.019
"Neutral|Not afraid at all",-1.6765362356813,1.21958431148315,-1.37467842107812,0.169
"Not afraid at all|Not afraid much",-0.609715891765727,1.21746578948449,-0.500807412439817,0.617
"Not afraid much|Very afraid",0.161049083580322,1.21757793520739,0.132270041139412,0.895
